StartOfPoints
161	0.699982
162	1.41
163	2.12
163	2.82999
164	3.5
164	4.22
165	4.94
166	5.66
167	6.38
168	7.1
169	7.82
170	8.54
171	9.26
172	9.98
173	10.7
174	11.42
175	12.14
176	12.79
177	13.44
178	14.09
179	14.74
180	15.39
180	16.04
180	16.69
177	17.34
0	17.99
0	18.64
0	19.29
0	20.12
42	20.84
0	21.56
0	22.28
0	23
157	23.72
200	24.44
201	25.16
203	25.88
206	26.6
210	27.32
213	28.04
216	28.8
219	29.55
222	30.3
225	31.05
228	31.8
230	32.55
233	33.3
237	34.05
241	34.8
245	35.55
249	36.3
252	37.05
256	37.86
260	38.57
264	39.28
268	39.99
275	40.7
280	41.41
285	42.12
290	42.83
295	43.54
300	44.25
306	44.96
317	46.49
311	45.67
322	47.19
324	47.89
327	48.59
329	49.29
0	49.99
99	50.69
99	51.39
99	52.09
98	52.79
96	53.49
97	54.19
98	54.95
98	55.72
97	56.49
784	57.26
777	58.03
776	58.8
775	59.57
775	60.34
774	61.11
771	61.88
768	62.65
766	63.42
763	64.26
761	64.98
758	65.7
756	66.42
754	67.14
752	67.86
750	68.58
748	69.3
747	70.02
746	70.74
745	71.46
744	72.18
742	72.9
651	73.6
540	74.3
533	75
531	75.7
528	76.4
526	77.1
525	77.8
525	78.5
525	79.2
526	79.9
526	81.42
526	80.6
526	82.13
527	82.84
527	83.55
527	84.26
528	84.97
528	85.68
529	86.39
530	87.1
530	87.81
531	88.52
533	89.23
534	90.05
536	90.71
537	91.37
539	92.03
540	92.69
542	93.35
544	94.01
546	94.67
549	95.33
551	95.99
553	96.65
555	97.31
557	98.04
559	98.75
562	99.46
566	100.17
569	100.88
572	101.59
575	102.3
579	103.01
582	103.72
583	104.43
581	105.14
578	105.85
568	106.67
557	107.44
544	108.21
533	108.98
522	109.75
513	110.52
504	111.29
495	112.06
487	112.83
479	113.6
471	114.37
464	115.14
457	115.92
450	116.62
444	117.32
437	118.02
431	118.72
424	119.42
418	120.12
413	120.82
408	121.52
403	122.22
398	122.92
392	123.62
118	124.4
108	125.12
107	125.84
107	126.56
107	127.28
105	128
325	128.72
335	129.44
341	130.16
341	130.88
342	131.6
339	133.08
341	132.32
336	133.78
334	134.48
331	135.18
328	135.88
325	136.58
322	137.28
319	137.98
317	138.68
315	139.38
313	140.08
311	140.78
309	141.6
307	142.31
305	143.02
304	143.73
302	144.44
300	145.15
299	145.86
297	146.57
296	147.28
294	147.99
293	148.7
290	150.23
291	149.41
289	150.93
287	151.63
286	152.33
285	153.03
285	153.73
284	154.43
285	155.13
288	155.83
288	156.53
282	157.23
281	158.72
281	157.93
282	159.44
283	160.16
285	160.88
249	161.6
267	162.32
274	163.04
275	163.76
276	164.48
276	165.2
276	165.92
276	166.64
276	167.39
276	168.14
276	168.89
276	169.64
276	170.39
275	171.14
275	171.89
275	172.64
275	173.39
